Telefonnummer,ansprache,Titel,vorname,nachname,firma,strasse,adresszusatz,plz,ort,email,url,Beschreibung,Kategorie
0049 30 22334455,,,,,Endel,,,,,,endel.io,Erstellt adaptive Klanglandschaften zur Förderung von Konzentration und Entspannung.,
0049  8171 26 720,,,,,Brumba,,,,,,brumaba.de,"Die BRUMABA GmbH & Co. KG ist ein familiengeführtes Unternehmen mit Sitz in Geretsried, Bayern, das seit 1980 hochwertige, ergonomische OP-Tische, OP-Stühle, Behandlungsliegen und Patiententransportstühle entwickelt und produziert. Alle Produkte sind ""Made in Germany"" und zeichnen sich durch Langlebigkeit, Funktionalität und Ergonomie aus.",Medizintechnik – OP-Ausstattung / Chirurgische Möbel
0041 676 60 00,,,,,Sarna Plastec AG,,,,,,sarna-plastec.ch,Bietet nachhaltige Verpackungslösungen aus Materialien wie BioFoam und Green Planet.,Verpackungsindustrie
0043 670 3082066,,,,,ToolSense GmbH,,,,,,https://toolsense.io/,IoT-gestützte Plattform zur Verwaltung von Maschinen und Wartungsprozessen im Facility- und Logistikbereich.,IoT & digitale Instandhaltung
0049 2131-2248 0,,,,,Xerox GmbH,,,,,,xerox.de,Xerox bietet mit DocuShare eine webbasierte Dokumentenmanagement- und Enterprise-Content-Management-Lösung für Unternehmen.,
0049 30 95 999 39 10,,,,,DIGI-BEL,,,,,,digi-bel.de,Belegübertragung & Kommunikation zwischen Steuerkanzlei & Mandant – ohne DATEV-Login,LegalTech
0049 345 6789012,,,,,myCortex,,,,,,mycortex.de,"Entwickelt eine Software für Pflegeeinrichtungen, die Pflegedokumentation, Qualitätsmanagement und Abrechnung in einer Plattform integriert.",
0049 571 79 30,,,,,Bernstein,,,,,,https://www.bernstein.eu/,industrieller Sicherheits- und Gehäusetechnik,
0049 40 23969455,,,,,aforms2web,,,,,,https://www.aforms2web.com,"Verwaltungs-Software, aber keine passenden Mandanten",
0049 228 28629910,,,,,LeanIX,,,,,,https://www.leanix.net/de/,"Bietet eine Plattform für Enterprise Architecture Management, um IT-Landschaften transparent zu machen und zu optimieren.",
0049 3834 838 12 12,,,,,ebiga-VISION GmbH,,,,,,ebiga-vision.com,"Die ebiga-VISION GmbH ist ein familiengeführtes Vision-Science-Unternehmen mit Sitz in Greifswald, das sich auf die Diagnostik, Prävention und Behandlung von Sehstörungen und chronischen Augenerkrankungen spezialisiert hat. Das Unternehmen konzentriert sich auf Forschung und Entwicklung evidenzbasierter Nahrungsergänzungsmittel zur Unterstützung der Augengesundheit, insbesondere bei Glaskörperdegeneration, diabetischer Retinopathie, Makuladegeneration und Glaukom.",Medizintechnik – Ophthalmologie / Augenchirurgie
0049 89 380 38 332,,,,,Beglaubigt.de,,,,,,beglaubigt.de,Digitaler Notarservice für schnelle und papierlose Beurkundungen in Europa.,LegalTech / Notariat
0049 69 348 710 00,,,,,Integral,,,,,,www.integral.com,Deutsche B2B-Plattform für Zahlungsabwicklung und digitales Risikomanagement im Finanzbereich.,
0049 201 54 540,,,,,Secunet Security Networks AG,,,,,,secunet.com,Bietet umfassende IT-Sicherheitslösungen und Beratung für öffentliche und private Sektoren.,IT-Sicherheitsberatung
0049 2161 5678 0,,,,,Thielemann Group,,,,,,www.thielemann-group.com,"Unternehmensgruppe in der Logistikbranche mit Beteiligungen in den Bereichen Spedition, Logistik, Immobilienentwicklung und Start-ups, die innovative Lösungen fördert und umsetzt.",
0049 20 33 06 40 40,,,,,Air Code,,,,,,https://www.aircode.de/,"airCode.de ist ein deutsches Unternehmen mit Sitz in Duisburg, das sich auf maßgeschneiderte RFID-Lösungen und Wireless Body Area Network (WBAN)-Anwendungen spezialisiert hat. Das Unternehmen bietet individuelle Systemdesigns und Implementierungen für verschiedene Branchen an",
0043 50 857,,,,,Schrack Seconet AG,,,,,,schrack-seconet.com,Rufanlagen & Sicherheitstechnik für Pflegeeinrichtungen,Gebäudetechnik
0049 671 9299 3004,,,,,Uberblick.io,,,,,,uberblick.io,Intelligente Dokumentenorganisation mit KI – DSGVO-konforme Cloudlösung,LegalTech
0049 30 58 58 122 540,,,,,NOAH (Westernacher Solutions GmbH),,,,,,noah-notariatssoftware.de,"All-in-One-Software für Notariate mit Funktionen für Textverarbeitung, Archivierung und Kundenverwaltung.",Notariatssoftware
0049 89 72699-0,,,,,PlanOrg,,,,,,planorg.de,"Bietet IT-Lösungen für das Gesundheitswesen, einschließlich Systeme für Qualitätsmanagement und Pflegedokumentation.",
0049 7222 5905-0,,,,,FEURER Porsiplast GmbH,,,,,,feurer.com,Entwickelt plastikfreie Einstoff-Blisterverpackungen aus Karton für nachhaltige Produktpräsentation.,Verpackungsindustrie
0049 2432 907805,,,,,Panat Laptool GmbH,,,,,,https://panat-laptool.de/,Produziert Trainingssysteme für minimalinvasive Chirurgie,Medizintechnik / Simulation
0049 2232 50 455 0,,,,,UnTouch,,,,,,untouch.de,Mobile und webbasierte Werkzeug- und Geräteverwaltung mit NFC-Funktion zur Echtzeitnachverfolgung.,Softwareentwicklung
0049 721 96 510,,,,,PTV Group,,,,,,ptvgroup.com,"Entwickelt Software für Verkehrs- und Transportplanung, einschließlich Tourenoptimierung für Logistikunternehmen.",Software und Beratung
0049 69 9675 8860,,,,,AsstrA,,,,,,www.asstra.de,"Internationaler Transport- und Logistikdienstleister, spezialisiert auf B2B-Logistiklösungen, einschließlich Lieferkettenmanagement, Transport, Vertrieb und Bestandsmanagement, mit Fokus auf technologische Integration.",
0049 2191 696250,,,,,BRF Verpackungen GmbH & Co. KG,,,,,,blisterverpackung-nrw.de,Spezialisiert auf biologisch abbaubare Blisterverpackungen aus Biokunststoffen.,Verpackungsindustrie
0049 89 20001582,,,,,Pricefx,,,,,,https://www.pricefx.com/,"Bietet vollständige Preismanagementlösungen, die schnell umgesetzt werden und sich flexibel an Geschäftsanforderungen anpassen lassen.",
0043 1 890 32 97,,,,,SobIT GmbH,,,,,,sobit.at,"Entwickelt mit UPI eine Softwarelösung zur Verwaltung von Personal- und Klientendaten, einschließlich Einsatzplanung und Abrechnung im Gesundheitswesen.",
00651 460 86 40,,,,,qado,,,,,,qado.de,"Entwickelt das webbasierte QMBoard zur Durchführung von QM-Prozessen im Gesundheits- und Pflegebereich, das Feedback integriert und Maßnahmen definiert.",
0049 303 080 89 56,,,,,Candis GmbH,,,,,,candis.io,Automatisierte Buchhaltungssoftware zur Digitalisierung von Rechnungsprozessen.,Buchhaltungsautomatisierung
0049 3632 82 299 18,,,,,FrachtGefährten,,,,,,frachtgefaehrten.de,Bietet digitale Frachtvergabe und Tourenoptimierung zur sofortigen Senkung von Frachtkosten.,Logistiksoftware
0049 89 4132 7291,,,,,DeepDrive,,,,,,www.deepdrive.tech,Entwickelt hocheffiziente Elektromotoren ohne seltene Erden für die Automobilindustrie.,
0049 40 23969452,,,,,notarity,,,,,,https://notarity.com,Plattform für Online-Notariatsdienstleistungen,
0049 621 490 730 100,,,,,Alugha GmbH,,,,,,alugha.com,Bietet eine Plattform zur Erstellung und Verwaltung mehrsprachiger Videos.,Video-Hosting
0049 351 312 930,,,,,Davitec GmbH,,,,,,davitec.de,Entwickelt digitale Lösungen für die Pflegedokumentation mit Fokus auf Benutzerfreundlichkeit und Effizienz.,
0049 40 527 00 0,,,,,auxalia,,,,,,auxalia.com,Spezialisiert auf Autodesk-Software und BIM-Technologien für digitales Bauen mit 3D-Planungswerkzeugen.,
0049 30 555 700 00,,,,,Inhubber GmbH,,,,,,www.inhubber.com,KI-gestützte SaaS-Lösung für intelligentes Vertragsmanagement in Unternehmen.,
0049 911 27 30,,,,,Novartis Deutschland,,,,,,novartis.de,Treibt die Digitalisierung in allen Unternehmensbereichen voran und entwickelt digitale Gesundheitslösungen.,Pharmaindustrie
0049 789 0123456,,,,,medidoc,,,,,,medidoc.de,Bietet eine Softwarelösung für Arztpraxen und Pflegeeinrichtungen zur digitalen Dokumentation und Verwaltung von Patientendaten.,
004949 711 80 60 890,,,,,ELO Digital Office GmbH,,,,,,elo.com,"ELO Digital Office bietet Softwarelösungen für die Digitalisierung in der Baubranche, einschließlich digitaler Bauakten und Dokumentenmanagement.",
0049 23110 87 78 50,,,,,Block Optic Design GmbH,,,,,,block-optic.com,"Block Optic Design GmbH ist ein führender deutscher Hersteller von augenoptischen und ophthalmologischen Geräten und Einrichtungen. Seit 1974 entwickelt und produziert das Unternehmen in Dortmund und Velen-Ramsdorf maßgeschneiderte Untersuchungseinheiten, Patientenstühle, Geräteträger und Sehtestgeräte. Die modularen Systeme sind ergonomisch, hygienisch und individuell anpassbar – auch für Rollstuhlpatienten. Zudem bietet Block Optic Praxisplanung, 3D-Visualisierung und einen umfassenden Kundenservice an.",Medizintechnik – Ophthalmologie / Augenchirurgie
0049 30 98765432,,,,,Cambrium,,,,,,cambrium.bio,"Entwickelt mittels KI Proteine für verschiedene Anwendungen, insbesondere im Bereich Hautpflege.",
0041 61 205 34 40,,,,,health learning,,,,,,https://health-learning.ch/,"?Die Health-Learning-Plattform bietet Online-Fortbildungen im Gesundheitsbereich an, mit einem besonderen Fokus auf die Pflege älterer Menschen. Sie richtet sich an Pflege- und Betreuungspersonal in Alters- und Pflegeheimen, Mitarbeitende von Spitex-Organisationen sowie pflegende Angehörige.",
0049 2735 7776,,,,,Heinrich Buhl GmbH,,,,,,heinrich-buhl.de,Bietet Blisterverpackungen mit Fokus auf Materialauswahl und Nachhaltigkeit.,Verpackungsindustrie
0049 7251 366 0,,,,,Pro-Bau/S® AddOne,,,,,,probau-s.de,"Entwickelt eine digitale Bauakte, die eine effiziente elektronische Dokumentenablage ermöglicht, inklusive Drag & Drop-Funktionalität und intelligenter Suchfunktionen für Bauprojekte.",
0049 241 89 43 880,,,,,innloft,,,,,,https://innoloft.com/de,"?Innoloft GmbH ist ein Softwaretechnologieunternehmen mit Sitz in Aachen, Deutschland, das 2019 gegründet wurde. Das Unternehmen bietet mit LoftOS eine No-Code-Entwicklungsplattform an, die es Nutzern ermöglicht, Webanwendungen wie Netzwerke, Marktplätze oder interne Tools zu erstellen, ohne eine einzige Zeile Code zu schreiben",
0049 821 455 979 0,,,,,packVerde,,,,,,pack-verde.com,Bietet über 2.000 nachhaltige Verpackungslösungen aus nachwachsenden Rohstoffen.,Verpackungshandel
0049 231 586955-0,,,,,Smart-Store GmbH,,,,,,smart-store.de,"Bietet eine digitale Bauakte zur zentralen Speicherung aller Belege und Dokumententypen eines Bauprojekts, um stets den Überblick zu behalten.",
0049 69 50 50 60 0,,,,,Bluebeam,,,,,,https://www.bluebeam.com/de,Entwickelt Softwarelösungen für digitale Baudokumentation und Zusammenarbeit in Echtzeit.,
0049 511 9368 1860,,,,,HERO,,,,,,https://hero-software.de/,cloudbasierte Softwarelösung,
00512- 58 15 05,,,,,synedra information technologies GmbH,,,,,,synedra.com,Bietet Lösungen für das Management medizinischer Daten und Dokumente.,Gesundheits-IT
0049 711 7702-0,,,,,Herma GmbH,,,,,,herma.de,Entwickelt nachhaltige Etiketten und Verpackungslösungen zur Reduzierung von Verpackungsmüll.,Verpackungsindustrie
0049 40 23969457,,,,,Crif,,,,,,https://www.crif.de,"Fokus auf Risikomanagement, ähnliche Zielgruppen",
0049 814 15 27 60,,,,,Stammaum,,,,,,www.stumbaum.com,"Handwerksbetrieb mit Fokus auf Elektrotechnik, Sanitär, Heizung, Klima und Photovoltaik, der digitale Technologien zur Effizienzsteigerung einsetzt.",
0049 5744 93 99 90,,,,,Acotherm GmbH,,,,,,https://www.acotherm.de,"Klima-, Luft- & Kältetechnik für Kliniken & Gewerbe.",
0041 22 311 42 86,,,,,Confiserieauer,,,,,,https://www.confiserieauer.ch,Chocolatier,
0049 30 44556677,,,,,UltiHash,,,,,,ultihash.io,Entwickelt Algorithmen zur Reduzierung des Speicherbedarfs in Unternehmen.,
0049 172 935 95 91,,,,,Claus Mayer Verpackungen,,,,,,pm-mayer.de,"Hersteller von individuellen, nachhaltigen Produktverpackungen.",Verpackungsindustrie
0043 1 2345678,,,,,Orderlion,,,,,,orderlion.com,"B2B-Marktplatz, der Lebensmittelzulieferer mit Käufern verbindet und den Bestellprozess optimiert.",
0049 7132 3661,,,,,med3 GmbH,,,,,,med3.de,"Bietet mit CPA (Comprehensive Patient Administrator) ein modulares Softwarepaket zur Verwaltung von Ressourcen in medizinischen Einrichtungen, einschließlich Termin- und Operationsplanung.",
0049 5037 30 10,,,,,frischli Milchwerke GmbH,,,,,,frischli.de,Molkerei mit Produkten für Großverbraucher in der Gemeinschaftsverpflegung.,Molkereiprodukte
0049 89 99828800,,,,,Commercetools,,,,,,https://commercetools.com/de/,Bietet eine Headless-Commerce-Plattform für Unternehmen.,
0041 43 300 22 60,,,,,humanvision ag,,,,,,humanvision.ch,"Die humanvision ag mit Sitz in Zürich ist ein spezialisiertes Unternehmen im Bereich der Ophthalmologie. Sie bietet innovative Lösungen wie den IOL-Vision-Simulator SimVis Gekko, refraktive Implantate (Artiflex, Artisan), sowie Produkte für die OP-Reinluft-Klimatisierung und sterile Abdeckungen an. Das Unternehmen legt großen Wert auf Eigenentwicklungen und maßgeschneiderte Lösungen für medizinische Einrichtungen.",Medizintechnik – Ophthalmologie / Augenchirurgie
0049 30 51 69 56 430,,,,,Right Point GmbH,,,,,,rightpoint.de,B2B-Software für digitale Vertriebsprozesse & Angebotsautomation.,Vertriebsdigitalisierung
0049 541 600 844 0,,,,,NEVARIS,,,,,,https://www.nevaris.com/de,"Bietet Software für Bauunternehmen zur Planung, Steuerung und Abwicklung von Bauprojekten.",
0049 30 40 53 443 150,,,,,Freshfoodz,,,,,,freshfoodz.de,Bietet hochwertige High-Convenience-Gerichte für Vending- und Smart-Fridge-Lösungen mit langer Haltbarkeit und einfacher Integration.,
0049 621 426460,,,,,JobRouter AG,,,,,,jobrouter.com,Bietet eine digitale Plattform für Prozessautomatisierung und Datenmanagement.,Softwareentwicklung
0043 5572 394 489,,,,,Digando,,,,,,www.digando.com,Digitaler B2B-Marktplatz für die Vermietung von Baumaschinen und Arbeitsbühnen in der DACH-Region mit über 18.000 verfügbaren Maschinen und 160 Mietstationen.,
0049 8641 95400,,,,,SOFTAGE,,,,,,softage.de,"Bietet Softwarelösungen für ambulante Pflegedienste mit Funktionen für Dokumentation, Abrechnung und Tourenplanung.",
0049 151 7287 5471,,,,,Alpah Zukunft,,,,,,https://www.alphazukunft.com/,"Die Alpha Zukunft GmbH mit Sitz in Freiburg im Breisgau, Deutschland, ist auf den Vertrieb und technischen Support von Maschinen und Komponenten für Hersteller medizinischer Geräte spezialisiert.",
0049 211 11 79 23 70,,,,,Valtech,,,,,,https://www.valtech.com/,"?Valtech ist ein globales Unternehmen für Experience Innovation, das sich darauf spezialisiert hat, durch die Kombination von Daten, KI, Kreativität und Technologie innovative Kundenerlebnisse zu schaffen.",
0049 2377 78 40,,,,,wissner-bosserhoff GmbH,,,,,,wi-bo.de,Hersteller von Pflegebetten und Einrichtungen für Seniorenheime,Pflegeausstattung
0049 201 84 40,,,,,Thyssenkrupp Materials Services,,,,,,thyssenkrupp-materials-services.com,"Führt digitale Transformation im Werkstoffhandel durch, inklusive IoT-Integration und Online-Portale.",Industrie & Handel
0049 30  46 72 60 941,,,,,Contentful GmbH,,,,,,contentful.com,Headless CMS-Plattform für Content-Management über verschiedene Kanäle.,Content Management
0049 61 03 40 20,,,,,SMC,,,,,,https://www.smc.eu/de-de,"SMC Deutschland ist Teil der weltweit tätigen SMC Corporation, einem führenden Hersteller für Pneumatik- und Automatisierungstechnik. Die Produkte richten sich klar an industrielle Kunden (Automobil, Verpackung, Lebensmittel, Pharma, Maschinenbau etc.)",
0049 2403 94 55 65,,,,,Fritz Ruck Ophthalmologische Systeme GmbH,,,,,,https://ruck-gmbh.de/,Die Fritz Ruck GmbH mit Sitz in Eschweiler ist seit über 40 Jahren ein verlässlicher Partner für Augenärzte weltweit. Das Unternehmen entwickelt und produziert hochwertige Operationssysteme wie das QUBE pro für Vorder- und Hinterabschnittsoperationen. Neben innovativen Geräten bietet Ruck auch Zubehör und umfassenden Service für die Augenchirurgie an.,Medizintechnik – Ophthalmologie / Augenchirurgie
0049 1512 89 32 414,,,,,Notarius,,,,,,notarius.legal,Software zur digitalen Abwicklung von Beurkundungen mit höchsten Sicherheitsstandards.,LegalTech / Notariat
0049 241 18 900,,,,,GRÜN Software Group GmbH,,,,,,gruen.net,"Spezialsoftware für Spendenorganisationen, Bildung, Handel, Mitgliedermanagement u.?v.?m.",Branchensoftware
0049 2301 29 0,,,,,Rhenus Home Delivery,,,,,,www.rhenus.group,"Spezialisiert auf die Belieferung von Endkunden mit großen und sperrigen Waren im 1- und 2-Mann-Handling bis an den Verwendungsort, inklusive Montage und Installation.",
0049 5474 93 60,,,,,SoftwarePartner GmbH,,,,,,softwarepartner.net,Bietet Logistiksoftware zur Optimierung betriebswirtschaftlicher Abläufe und Steigerung der Prozesseffizienz.,"IT-Dienstleistungen, Software"
0049 6151 629 4170,,,,,Wingcopter GmbH,,,,,,www.wingcopter.com,"Deutsches Unternehmen, das unbemannte eVTOL-Fluggeräte für kommerzielle und humanitäre Anwendungen entwickelt, insbesondere für den schnellen Transport medizinischer Güter in entlegene Gebiete.",
0049 5732 9701 0,,,,,Sparck,,,,,,https://sparcktechnologies.com/de,Automatisierte Verpackung,
00 0747 39 48 640,,,,,BeneVit Gruppe,,,,,,www.benevit.net,Betreiber innovativer Pflegeeinrichtungen.,
0049 89 215544970,,,,,Temedica GmbH,,,,,,temedica.com,Entwickelt digitale Gesundheitsanwendungen und Patientendatenplattformen.,Gesundheits-IT
0049 2354 9449 969,,,,,IQfy GmbH,,,,,,iqfy.de,Softwarelösungen für Qualitätsmanagement in Pflegeeinrichtungen,Pflege-Software
0049 451 505 703 60,,,,,Eyetec GmbH,,,,,,eyetec.com,"Die Eyetec GmbH mit Sitz in Lübeck ist ein Anbieter von ophthalmologischen Geräten und Dienstleistungen. Das Unternehmen bietet eine breite Palette an Produkten für die Augenheilkunde an, darunter OCTs, Funduskameras, Spaltlampen, Refraktionseinheiten und Lasergeräte. Eyetec legt großen Wert auf umfassenden Service und Beratung für ihre Kunden.",Medizintechnik – Ophthalmologie / Augenchirurgie
0049 5664 94 960,,,,,Dr. Schumacher GmbH,,,,,,schumacher-online.com,Hersteller von Desinfektions- und Hygieneprodukten für medizinische Einrichtungen.,Medizinische Hygieneprodukte
0049 30 12087881,,,,,Cozero,,,,,,https://www.cozero.io/,"Cozero ist ein 2020 in Berlin gegründetes ClimateTech-Unternehmen, das Unternehmen eine umfassende Softwarelösung für das CO?-Management bietet. Mit ihrer Climate Action Platform ermöglicht Cozero Unternehmen, ihre CO?-Emissionen präzise zu messen, zu reduzieren und darüber zu berichten. Die Plattform richtet sich an Unternehmen verschiedener Branchen, darunter Logistik, industrielle Fertigung und weitere Sektoren, die ihre Nachhaltigkeitsstrategien optimieren möchten.",
0049 711 78 73 770,,,,,RIB eVergabe – RIB Software GmbH,,,,,,rib-software.com,"Plattform für digitale Ausschreibungen und Vergaben von Bau-, Liefer- und Dienstleistungen mit durchgängig integriertem Prozess.",Softwareentwicklung
