firma,url,audience_codes
Alpah Zukunft,https://www.alphazukunft.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Valtech,https://www.valtech.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
wissner-bosserhoff GmbH,wi-bo.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Thyssenkrupp Materials Services,thyssenkrupp-materials-services.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Contentful GmbH,contentful.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SMC,https://www.smc.eu/de-de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Fritz Ruck Ophthalmologische Systeme GmbH,https://ruck-gmbh.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Notarius,notarius.legal,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
GRÜN Software Group GmbH,gruen.net,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Rhenus Home Delivery,www.rhenus.group,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SoftwarePartner GmbH,softwarepartner.net,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Wingcopter GmbH,www.wingcopter.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Sparck,https://sparcktechnologies.com/de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
BeneVit Gruppe,www.benevit.net,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Temedica GmbH,temedica.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
IQfy GmbH,iqfy.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Eyetec GmbH,eyetec.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Dr. Schumacher GmbH,schumacher-online.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Cozero,https://www.cozero.io/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
RIB eVergabe  RIB Software GmbH,rib-software.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
AM GmbH,am-gmbh.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
mernatix,https://www.merantix.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
HOWDEN,https://www.howdengroup.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Foobar,www.foobar.agency/de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
RNA,https://rna.de/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
NovoSign GmbH,novosign.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Va-Q-tec AG,www.va-q-tec.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Service-Bund GmbH & Co. KG,servicebund.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SVG Rehasysteme GmbH,https://www.svg-rehasysteme.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Staffbase,https://staffbase.com/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Teuscher,https://www.teuscher.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
KUMAVISION AG,kumavision.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Moving Intelligence GmbH,movingintelligence.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Projektron GmbH,projektron.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
DocuWare GmbH,bahesmartwork.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Bihl Wiedemann,https://www.bihl-wiedemann.de/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SmartLoC,https://www.smartloc.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
AI VERGABEMANAGER  Administration Intelligence AG,ai-ag.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
amarea,https://www.amarea.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Doka,www.doka.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
FinTecSystems,https://www.fintecsystems.com/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
KORA GmbH,kora.at,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
ITRIS,www.itris.ch,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
1stQuad Solutions AG,1stquad.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Optica Abrechnungszentrum Dr. Güldener GmbH,https://www.optica.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Oxyle,oxyle.ch,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
DM7 stationär,dm7-software.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Menutech GmbH,https://menutech.com/de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Bachmann Forming AG,bachmann-kunststoff-verpackungen.ch,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
FleetGO GmbH,fleetgo.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Qdrant,qdrant.tech,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Ondo sense,https://ondosense.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
click worker,www.clickworker.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Helferportal,www.helferportal.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
editho AG,editho.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
SÜDPACK Medica AG,suedpack-medica.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Concular,www.concular.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Havi Logistics,www.havi.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
BK Vital,https://www.bkvital.de/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Lisios,lisios.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Thimm Group GmbH + Co. KG,thimm.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
BMI Deutschland GmbH,www.bmigroup.com/de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Neura Robotics,www.neura-robotics.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
BauWatch,www.bauwatch.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
abc cross media GmbH,abccrossmedia.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Wirthwein AG,www.wirthwein.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Flavura GmbH,flavura.de,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
GastroSmart GmbH,https://www.gastro-smart.com/,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
Jina AI,jina.ai,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
plano WFM,plano-wfm.com,"{""primary"": ""X_HORIZ"", ""secondary"": [""X_SME""], ""explanation"": ""This is a test response from the placeholder LLM.""}"
