prospect_firma,prospect_url,partner_name,partner_evaluation_score,partner_avg_leads,match_score,overlap_type
swissplast,swissplast.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
swissplast,swissplast.com,HRlab,45,2,2.75,HORIZONTAL
swissplast,swissplast.com,Tap to Tie,44,2,2.7,HORIZONTAL
swissplast,swissplast.com,vemeto GmbH,43,1,2.65,HORIZONTAL
Hasslacher,https://www.hasslacher.com/,CareLend,47,3,2.85,HORIZONTAL
Hasslacher,https://www.hasslacher.com/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Hasslacher,https://www.hasslacher.com/,HRlab,45,2,2.75,HORIZONTAL
Hasslacher,https://www.hasslacher.com/,Tap to Tie,44,2,2.7,HORIZONTAL
Hasslacher,https://www.hasslacher.com/,vemeto GmbH,43,1,2.65,HORIZONTAL
Wolf Verpackungen GmbH,wolf-verpackungen.de,CareLend,47,3,2.85,HORIZONTAL
Wolf Verpackungen GmbH,wolf-verpackungen.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Wolf Verpackungen GmbH,wolf-verpackungen.de,HRlab,45,2,2.75,HORIZONTAL
Wolf Verpackungen GmbH,wolf-verpackungen.de,Tap to Tie,44,2,2.7,HORIZONTAL
Wolf Verpackungen GmbH,wolf-verpackungen.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Opta data Gruppe,optadata-gruppe.de,CareLend,47,3,2.85,HORIZONTAL
Opta data Gruppe,optadata-gruppe.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Opta data Gruppe,optadata-gruppe.de,HRlab,45,2,2.75,HORIZONTAL
Opta data Gruppe,optadata-gruppe.de,Tap to Tie,44,2,2.7,HORIZONTAL
Opta data Gruppe,optadata-gruppe.de,vemeto GmbH,43,1,2.65,HORIZONTAL
CargoBeamer,www.cargobeamer.com,CareLend,47,3,2.85,HORIZONTAL
CargoBeamer,www.cargobeamer.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
CargoBeamer,www.cargobeamer.com,HRlab,45,2,2.75,HORIZONTAL
CargoBeamer,www.cargobeamer.com,Tap to Tie,44,2,2.7,HORIZONTAL
CargoBeamer,www.cargobeamer.com,vemeto GmbH,43,1,2.65,HORIZONTAL
DATAflor AG,dataflor.de,CareLend,47,3,2.85,HORIZONTAL
DATAflor AG,dataflor.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
DATAflor AG,dataflor.de,HRlab,45,2,2.75,HORIZONTAL
DATAflor AG,dataflor.de,Tap to Tie,44,2,2.7,HORIZONTAL
DATAflor AG,dataflor.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Digital medical Academy,https://dmaonline.de/,CareLend,47,3,2.85,HORIZONTAL
Digital medical Academy,https://dmaonline.de/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Digital medical Academy,https://dmaonline.de/,HRlab,45,2,2.75,HORIZONTAL
Digital medical Academy,https://dmaonline.de/,Tap to Tie,44,2,2.7,HORIZONTAL
Digital medical Academy,https://dmaonline.de/,vemeto GmbH,43,1,2.65,HORIZONTAL
Paul Kläs GmbH,paul-klaes.de,CareLend,47,3,2.85,HORIZONTAL
Paul Kläs GmbH,paul-klaes.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Paul Kläs GmbH,paul-klaes.de,HRlab,45,2,2.75,HORIZONTAL
Paul Kläs GmbH,paul-klaes.de,Tap to Tie,44,2,2.7,HORIZONTAL
Paul Kläs GmbH,paul-klaes.de,vemeto GmbH,43,1,2.65,HORIZONTAL
aedifion,aedifion.com,CareLend,47,3,2.85,HORIZONTAL
aedifion,aedifion.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
aedifion,aedifion.com,HRlab,45,2,2.75,HORIZONTAL
aedifion,aedifion.com,Tap to Tie,44,2,2.7,HORIZONTAL
aedifion,aedifion.com,vemeto GmbH,43,1,2.65,HORIZONTAL
eye concept GmbH,eye-concept.de,CareLend,47,3,2.85,HORIZONTAL
eye concept GmbH,eye-concept.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
eye concept GmbH,eye-concept.de,HRlab,45,2,2.75,HORIZONTAL
eye concept GmbH,eye-concept.de,Tap to Tie,44,2,2.7,HORIZONTAL
eye concept GmbH,eye-concept.de,vemeto GmbH,43,1,2.65,HORIZONTAL
NetBAU  SIDOUN International GmbH,sidoun.de,CareLend,47,3,2.85,HORIZONTAL
NetBAU  SIDOUN International GmbH,sidoun.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
NetBAU  SIDOUN International GmbH,sidoun.de,HRlab,45,2,2.75,HORIZONTAL
NetBAU  SIDOUN International GmbH,sidoun.de,Tap to Tie,44,2,2.7,HORIZONTAL
NetBAU  SIDOUN International GmbH,sidoun.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Planforge GmbH,planforge.io,CareLend,47,3,2.85,HORIZONTAL
Planforge GmbH,planforge.io,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Planforge GmbH,planforge.io,HRlab,45,2,2.75,HORIZONTAL
Planforge GmbH,planforge.io,Tap to Tie,44,2,2.7,HORIZONTAL
Planforge GmbH,planforge.io,vemeto GmbH,43,1,2.65,HORIZONTAL
Notarberater,notarberater.de,CareLend,47,3,2.85,HORIZONTAL
Notarberater,notarberater.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Notarberater,notarberater.de,HRlab,45,2,2.75,HORIZONTAL
Notarberater,notarberater.de,Tap to Tie,44,2,2.7,HORIZONTAL
Notarberater,notarberater.de,vemeto GmbH,43,1,2.65,HORIZONTAL
sennder,www.sennder.com,CareLend,47,3,2.85,HORIZONTAL
sennder,www.sennder.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
sennder,www.sennder.com,HRlab,45,2,2.75,HORIZONTAL
sennder,www.sennder.com,Tap to Tie,44,2,2.7,HORIZONTAL
sennder,www.sennder.com,vemeto GmbH,43,1,2.65,HORIZONTAL
PASS Logistics Solutions AG,pass-consulting.com,CareLend,47,3,2.85,HORIZONTAL
PASS Logistics Solutions AG,pass-consulting.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
PASS Logistics Solutions AG,pass-consulting.com,HRlab,45,2,2.75,HORIZONTAL
PASS Logistics Solutions AG,pass-consulting.com,Tap to Tie,44,2,2.7,HORIZONTAL
PASS Logistics Solutions AG,pass-consulting.com,vemeto GmbH,43,1,2.65,HORIZONTAL
Camunda GmbH,camunda.com,CareLend,47,3,2.85,HORIZONTAL
Camunda GmbH,camunda.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Camunda GmbH,camunda.com,HRlab,45,2,2.75,HORIZONTAL
Camunda GmbH,camunda.com,Tap to Tie,44,2,2.7,HORIZONTAL
Camunda GmbH,camunda.com,vemeto GmbH,43,1,2.65,HORIZONTAL
Hawk AI,hawk.ai,CareLend,47,3,2.85,HORIZONTAL
Hawk AI,hawk.ai,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Hawk AI,hawk.ai,HRlab,45,2,2.75,HORIZONTAL
Hawk AI,hawk.ai,Tap to Tie,44,2,2.7,HORIZONTAL
Hawk AI,hawk.ai,vemeto GmbH,43,1,2.65,HORIZONTAL
Signavio,https://www.signavio.com/de/,CareLend,47,3,2.85,HORIZONTAL
Signavio,https://www.signavio.com/de/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Signavio,https://www.signavio.com/de/,HRlab,45,2,2.75,HORIZONTAL
Signavio,https://www.signavio.com/de/,Tap to Tie,44,2,2.7,HORIZONTAL
Signavio,https://www.signavio.com/de/,vemeto GmbH,43,1,2.65,HORIZONTAL
SCOOTTRAIN,https://www.scoottrain.com/,CareLend,47,3,2.85,HORIZONTAL
SCOOTTRAIN,https://www.scoottrain.com/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
SCOOTTRAIN,https://www.scoottrain.com/,HRlab,45,2,2.75,HORIZONTAL
SCOOTTRAIN,https://www.scoottrain.com/,Tap to Tie,44,2,2.7,HORIZONTAL
SCOOTTRAIN,https://www.scoottrain.com/,vemeto GmbH,43,1,2.65,HORIZONTAL
contractix,www.contractix.de,CareLend,47,3,2.85,HORIZONTAL
contractix,www.contractix.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
contractix,www.contractix.de,HRlab,45,2,2.75,HORIZONTAL
contractix,www.contractix.de,Tap to Tie,44,2,2.7,HORIZONTAL
contractix,www.contractix.de,vemeto GmbH,43,1,2.65,HORIZONTAL
NotarPartner,notarpartner.de,CareLend,47,3,2.85,HORIZONTAL
NotarPartner,notarpartner.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
NotarPartner,notarpartner.de,HRlab,45,2,2.75,HORIZONTAL
NotarPartner,notarpartner.de,Tap to Tie,44,2,2.7,HORIZONTAL
NotarPartner,notarpartner.de,vemeto GmbH,43,1,2.65,HORIZONTAL
BioMed X GmbH,bmedx.com,CareLend,47,3,2.85,HORIZONTAL
BioMed X GmbH,bmedx.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
BioMed X GmbH,bmedx.com,HRlab,45,2,2.75,HORIZONTAL
BioMed X GmbH,bmedx.com,Tap to Tie,44,2,2.7,HORIZONTAL
BioMed X GmbH,bmedx.com,vemeto GmbH,43,1,2.65,HORIZONTAL
pharmaserv,pharmaserv.de,CareLend,47,3,2.85,HORIZONTAL
pharmaserv,pharmaserv.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
pharmaserv,pharmaserv.de,HRlab,45,2,2.75,HORIZONTAL
pharmaserv,pharmaserv.de,Tap to Tie,44,2,2.7,HORIZONTAL
pharmaserv,pharmaserv.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Deeprag,https://www.deprag.com/,CareLend,47,3,2.85,HORIZONTAL
Deeprag,https://www.deprag.com/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Deeprag,https://www.deprag.com/,HRlab,45,2,2.75,HORIZONTAL
Deeprag,https://www.deprag.com/,Tap to Tie,44,2,2.7,HORIZONTAL
Deeprag,https://www.deprag.com/,vemeto GmbH,43,1,2.65,HORIZONTAL
Manner,https://www.manner.com,CareLend,47,3,2.85,HORIZONTAL
Manner,https://www.manner.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Manner,https://www.manner.com,HRlab,45,2,2.75,HORIZONTAL
Manner,https://www.manner.com,Tap to Tie,44,2,2.7,HORIZONTAL
Manner,https://www.manner.com,vemeto GmbH,43,1,2.65,HORIZONTAL
plan net,https://www.plan-net.com/de/,CareLend,47,3,2.85,HORIZONTAL
plan net,https://www.plan-net.com/de/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
plan net,https://www.plan-net.com/de/,HRlab,45,2,2.75,HORIZONTAL
plan net,https://www.plan-net.com/de/,Tap to Tie,44,2,2.7,HORIZONTAL
plan net,https://www.plan-net.com/de/,vemeto GmbH,43,1,2.65,HORIZONTAL
Aforms,https://www.aforms.com/,CareLend,47,3,2.85,HORIZONTAL
Aforms,https://www.aforms.com/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Aforms,https://www.aforms.com/,HRlab,45,2,2.75,HORIZONTAL
Aforms,https://www.aforms.com/,Tap to Tie,44,2,2.7,HORIZONTAL
Aforms,https://www.aforms.com/,vemeto GmbH,43,1,2.65,HORIZONTAL
Solarisbank AG,solarisbank.com,CareLend,47,3,2.85,HORIZONTAL
Solarisbank AG,solarisbank.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Solarisbank AG,solarisbank.com,HRlab,45,2,2.75,HORIZONTAL
Solarisbank AG,solarisbank.com,Tap to Tie,44,2,2.7,HORIZONTAL
Solarisbank AG,solarisbank.com,vemeto GmbH,43,1,2.65,HORIZONTAL
BIM4You,bib-gmbh.de,CareLend,47,3,2.85,HORIZONTAL
BIM4You,bib-gmbh.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
BIM4You,bib-gmbh.de,HRlab,45,2,2.75,HORIZONTAL
BIM4You,bib-gmbh.de,Tap to Tie,44,2,2.7,HORIZONTAL
BIM4You,bib-gmbh.de,vemeto GmbH,43,1,2.65,HORIZONTAL
PflegeNet,pflegenet.de,CareLend,47,3,2.85,HORIZONTAL
PflegeNet,pflegenet.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
PflegeNet,pflegenet.de,HRlab,45,2,2.75,HORIZONTAL
PflegeNet,pflegenet.de,Tap to Tie,44,2,2.7,HORIZONTAL
PflegeNet,pflegenet.de,vemeto GmbH,43,1,2.65,HORIZONTAL
BTL Medizintechnik GmbH,https://www.btlmed.de/,CareLend,47,3,2.85,HORIZONTAL
BTL Medizintechnik GmbH,https://www.btlmed.de/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
BTL Medizintechnik GmbH,https://www.btlmed.de/,HRlab,45,2,2.75,HORIZONTAL
BTL Medizintechnik GmbH,https://www.btlmed.de/,Tap to Tie,44,2,2.7,HORIZONTAL
BTL Medizintechnik GmbH,https://www.btlmed.de/,vemeto GmbH,43,1,2.65,HORIZONTAL
Commercetools GmbH,commercetools.com,CareLend,47,3,2.85,HORIZONTAL
Commercetools GmbH,commercetools.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Commercetools GmbH,commercetools.com,HRlab,45,2,2.75,HORIZONTAL
Commercetools GmbH,commercetools.com,Tap to Tie,44,2,2.7,HORIZONTAL
Commercetools GmbH,commercetools.com,vemeto GmbH,43,1,2.65,HORIZONTAL
Endel,endel.io,CareLend,47,3,2.85,HORIZONTAL
Endel,endel.io,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Endel,endel.io,HRlab,45,2,2.75,HORIZONTAL
Endel,endel.io,Tap to Tie,44,2,2.7,HORIZONTAL
Endel,endel.io,vemeto GmbH,43,1,2.65,HORIZONTAL
Brumba,brumaba.de,CareLend,47,3,2.85,HORIZONTAL
Brumba,brumaba.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Brumba,brumaba.de,HRlab,45,2,2.75,HORIZONTAL
Brumba,brumaba.de,Tap to Tie,44,2,2.7,HORIZONTAL
Brumba,brumaba.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Sarna Plastec AG,sarna-plastec.ch,CareLend,47,3,2.85,HORIZONTAL
Sarna Plastec AG,sarna-plastec.ch,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Sarna Plastec AG,sarna-plastec.ch,HRlab,45,2,2.75,HORIZONTAL
Sarna Plastec AG,sarna-plastec.ch,Tap to Tie,44,2,2.7,HORIZONTAL
Sarna Plastec AG,sarna-plastec.ch,vemeto GmbH,43,1,2.65,HORIZONTAL
ToolSense GmbH,https://toolsense.io/,CareLend,47,3,2.85,HORIZONTAL
ToolSense GmbH,https://toolsense.io/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
ToolSense GmbH,https://toolsense.io/,HRlab,45,2,2.75,HORIZONTAL
ToolSense GmbH,https://toolsense.io/,Tap to Tie,44,2,2.7,HORIZONTAL
ToolSense GmbH,https://toolsense.io/,vemeto GmbH,43,1,2.65,HORIZONTAL
Xerox GmbH,xerox.de,CareLend,47,3,2.85,HORIZONTAL
Xerox GmbH,xerox.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Xerox GmbH,xerox.de,HRlab,45,2,2.75,HORIZONTAL
Xerox GmbH,xerox.de,Tap to Tie,44,2,2.7,HORIZONTAL
Xerox GmbH,xerox.de,vemeto GmbH,43,1,2.65,HORIZONTAL
DIGI-BEL,digi-bel.de,CareLend,47,3,2.85,HORIZONTAL
DIGI-BEL,digi-bel.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
DIGI-BEL,digi-bel.de,HRlab,45,2,2.75,HORIZONTAL
DIGI-BEL,digi-bel.de,Tap to Tie,44,2,2.7,HORIZONTAL
DIGI-BEL,digi-bel.de,vemeto GmbH,43,1,2.65,HORIZONTAL
myCortex,mycortex.de,CareLend,47,3,2.85,HORIZONTAL
myCortex,mycortex.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
myCortex,mycortex.de,HRlab,45,2,2.75,HORIZONTAL
myCortex,mycortex.de,Tap to Tie,44,2,2.7,HORIZONTAL
myCortex,mycortex.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Bernstein,https://www.bernstein.eu/,CareLend,47,3,2.85,HORIZONTAL
Bernstein,https://www.bernstein.eu/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Bernstein,https://www.bernstein.eu/,HRlab,45,2,2.75,HORIZONTAL
Bernstein,https://www.bernstein.eu/,Tap to Tie,44,2,2.7,HORIZONTAL
Bernstein,https://www.bernstein.eu/,vemeto GmbH,43,1,2.65,HORIZONTAL
aforms2web,https://www.aforms2web.com,CareLend,47,3,2.85,HORIZONTAL
aforms2web,https://www.aforms2web.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
aforms2web,https://www.aforms2web.com,HRlab,45,2,2.75,HORIZONTAL
aforms2web,https://www.aforms2web.com,Tap to Tie,44,2,2.7,HORIZONTAL
aforms2web,https://www.aforms2web.com,vemeto GmbH,43,1,2.65,HORIZONTAL
LeanIX,https://www.leanix.net/de/,CareLend,47,3,2.85,HORIZONTAL
LeanIX,https://www.leanix.net/de/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
LeanIX,https://www.leanix.net/de/,HRlab,45,2,2.75,HORIZONTAL
LeanIX,https://www.leanix.net/de/,Tap to Tie,44,2,2.7,HORIZONTAL
LeanIX,https://www.leanix.net/de/,vemeto GmbH,43,1,2.65,HORIZONTAL
ebiga-VISION GmbH,ebiga-vision.com,CareLend,47,3,2.85,HORIZONTAL
ebiga-VISION GmbH,ebiga-vision.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
ebiga-VISION GmbH,ebiga-vision.com,HRlab,45,2,2.75,HORIZONTAL
ebiga-VISION GmbH,ebiga-vision.com,Tap to Tie,44,2,2.7,HORIZONTAL
ebiga-VISION GmbH,ebiga-vision.com,vemeto GmbH,43,1,2.65,HORIZONTAL
Beglaubigt.de,beglaubigt.de,CareLend,47,3,2.85,HORIZONTAL
Beglaubigt.de,beglaubigt.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Beglaubigt.de,beglaubigt.de,HRlab,45,2,2.75,HORIZONTAL
Beglaubigt.de,beglaubigt.de,Tap to Tie,44,2,2.7,HORIZONTAL
Beglaubigt.de,beglaubigt.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Integral,www.integral.com,CareLend,47,3,2.85,HORIZONTAL
Integral,www.integral.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Integral,www.integral.com,HRlab,45,2,2.75,HORIZONTAL
Integral,www.integral.com,Tap to Tie,44,2,2.7,HORIZONTAL
Integral,www.integral.com,vemeto GmbH,43,1,2.65,HORIZONTAL
Secunet Security Networks AG,secunet.com,CareLend,47,3,2.85,HORIZONTAL
Secunet Security Networks AG,secunet.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Secunet Security Networks AG,secunet.com,HRlab,45,2,2.75,HORIZONTAL
Secunet Security Networks AG,secunet.com,Tap to Tie,44,2,2.7,HORIZONTAL
Secunet Security Networks AG,secunet.com,vemeto GmbH,43,1,2.65,HORIZONTAL
Thielemann Group,www.thielemann-group.com,CareLend,47,3,2.85,HORIZONTAL
Thielemann Group,www.thielemann-group.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Thielemann Group,www.thielemann-group.com,HRlab,45,2,2.75,HORIZONTAL
Thielemann Group,www.thielemann-group.com,Tap to Tie,44,2,2.7,HORIZONTAL
Thielemann Group,www.thielemann-group.com,vemeto GmbH,43,1,2.65,HORIZONTAL
Air Code,https://www.aircode.de/,CareLend,47,3,2.85,HORIZONTAL
Air Code,https://www.aircode.de/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Air Code,https://www.aircode.de/,HRlab,45,2,2.75,HORIZONTAL
Air Code,https://www.aircode.de/,Tap to Tie,44,2,2.7,HORIZONTAL
Air Code,https://www.aircode.de/,vemeto GmbH,43,1,2.65,HORIZONTAL
Schrack Seconet AG,schrack-seconet.com,CareLend,47,3,2.85,HORIZONTAL
Schrack Seconet AG,schrack-seconet.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Schrack Seconet AG,schrack-seconet.com,HRlab,45,2,2.75,HORIZONTAL
Schrack Seconet AG,schrack-seconet.com,Tap to Tie,44,2,2.7,HORIZONTAL
Schrack Seconet AG,schrack-seconet.com,vemeto GmbH,43,1,2.65,HORIZONTAL
Uberblick.io,uberblick.io,CareLend,47,3,2.85,HORIZONTAL
Uberblick.io,uberblick.io,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Uberblick.io,uberblick.io,HRlab,45,2,2.75,HORIZONTAL
Uberblick.io,uberblick.io,Tap to Tie,44,2,2.7,HORIZONTAL
Uberblick.io,uberblick.io,vemeto GmbH,43,1,2.65,HORIZONTAL
NOAH (Westernacher Solutions GmbH),noah-notariatssoftware.de,CareLend,47,3,2.85,HORIZONTAL
NOAH (Westernacher Solutions GmbH),noah-notariatssoftware.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
NOAH (Westernacher Solutions GmbH),noah-notariatssoftware.de,HRlab,45,2,2.75,HORIZONTAL
NOAH (Westernacher Solutions GmbH),noah-notariatssoftware.de,Tap to Tie,44,2,2.7,HORIZONTAL
NOAH (Westernacher Solutions GmbH),noah-notariatssoftware.de,vemeto GmbH,43,1,2.65,HORIZONTAL
PlanOrg,planorg.de,CareLend,47,3,2.85,HORIZONTAL
PlanOrg,planorg.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
PlanOrg,planorg.de,HRlab,45,2,2.75,HORIZONTAL
PlanOrg,planorg.de,Tap to Tie,44,2,2.7,HORIZONTAL
PlanOrg,planorg.de,vemeto GmbH,43,1,2.65,HORIZONTAL
FEURER Porsiplast GmbH,feurer.com,CareLend,47,3,2.85,HORIZONTAL
FEURER Porsiplast GmbH,feurer.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
FEURER Porsiplast GmbH,feurer.com,HRlab,45,2,2.75,HORIZONTAL
FEURER Porsiplast GmbH,feurer.com,Tap to Tie,44,2,2.7,HORIZONTAL
FEURER Porsiplast GmbH,feurer.com,vemeto GmbH,43,1,2.65,HORIZONTAL
Panat Laptool GmbH,https://panat-laptool.de/,CareLend,47,3,2.85,HORIZONTAL
Panat Laptool GmbH,https://panat-laptool.de/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Panat Laptool GmbH,https://panat-laptool.de/,HRlab,45,2,2.75,HORIZONTAL
Panat Laptool GmbH,https://panat-laptool.de/,Tap to Tie,44,2,2.7,HORIZONTAL
Panat Laptool GmbH,https://panat-laptool.de/,vemeto GmbH,43,1,2.65,HORIZONTAL
UnTouch,untouch.de,CareLend,47,3,2.85,HORIZONTAL
UnTouch,untouch.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
UnTouch,untouch.de,HRlab,45,2,2.75,HORIZONTAL
UnTouch,untouch.de,Tap to Tie,44,2,2.7,HORIZONTAL
UnTouch,untouch.de,vemeto GmbH,43,1,2.65,HORIZONTAL
PTV Group,ptvgroup.com,CareLend,47,3,2.85,HORIZONTAL
PTV Group,ptvgroup.com,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
PTV Group,ptvgroup.com,HRlab,45,2,2.75,HORIZONTAL
PTV Group,ptvgroup.com,Tap to Tie,44,2,2.7,HORIZONTAL
PTV Group,ptvgroup.com,vemeto GmbH,43,1,2.65,HORIZONTAL
AsstrA,www.asstra.de,CareLend,47,3,2.85,HORIZONTAL
AsstrA,www.asstra.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
AsstrA,www.asstra.de,HRlab,45,2,2.75,HORIZONTAL
AsstrA,www.asstra.de,Tap to Tie,44,2,2.7,HORIZONTAL
AsstrA,www.asstra.de,vemeto GmbH,43,1,2.65,HORIZONTAL
BRF Verpackungen GmbH & Co. KG,blisterverpackung-nrw.de,CareLend,47,3,2.85,HORIZONTAL
BRF Verpackungen GmbH & Co. KG,blisterverpackung-nrw.de,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
BRF Verpackungen GmbH & Co. KG,blisterverpackung-nrw.de,HRlab,45,2,2.75,HORIZONTAL
BRF Verpackungen GmbH & Co. KG,blisterverpackung-nrw.de,Tap to Tie,44,2,2.7,HORIZONTAL
BRF Verpackungen GmbH & Co. KG,blisterverpackung-nrw.de,vemeto GmbH,43,1,2.65,HORIZONTAL
Pricefx,https://www.pricefx.com/,CareLend,47,3,2.85,HORIZONTAL
Pricefx,https://www.pricefx.com/,DIGI-BEL,46,5,2.8000000000000003,HORIZONTAL
Pricefx,https://www.pricefx.com/,HRlab,45,2,2.75,HORIZONTAL
Pricefx,https://www.pricefx.com/,Tap to Tie,44,2,2.7,HORIZONTAL
